geography,legislation,topic,subtopic,new_topic,new_subtopic,flexible_fund,program,summary_description,program_description, allocation ,amount_exact,percent_spent,agency,source,source_url,current_as_of,expiration,is_expired
Cook County,ARPA State and Local Fiscal Recovery Funds,Community Safety,Alternative Emergency Response,Community Safety,Alternative Emergency Response,Yes,911 Alternative Model Study and Strategic Plan,Develop a strategic plan on 911 alternative response models,"The Justice Advisory Council will engage consultants to develop a report and strategic plan on 911 alternative response models for Cook County. This includes 1) a comprehensive analysis of Cook County's current 911 system, 2) best and emerging practices in putting in place alternative responses, and 3) recommendations and a strategic plan on how Cook County may move forward with a new model. The goal of this project is to develop a plan for a response system that both better responds with mental health and other emergency services that do not require a traditional law enforcement response, needs which have been exacerbated during the lengthy pandemic, and to prevent unnecessary involvement of individuals in the criminal justice system.","$1,500,000.00 ",0,NA,Cook County Justice Advisory Council,"<a href = ""https://www.cookcountyil.gov/sites/g/files/ywwepo161/files/documents/2022-02/ARPA%20At%20A%20Glance%20-%202-10-22.pdf"">Cook County ARPA Recovery Plan</a>",https://www.cookcountyil.gov/sites/g/files/ywwepo161/files/documents/2022-02/ARPA%20At%20A%20Glance%20-%202-10-22.pdf,2/10/2022,12/31/2024,0
Chicago,ARPA State and Local Fiscal Recovery Funds,Community Safety,Alternative Emergency Response,Community Safety,Alternative Emergency Response,Yes,911 Alternative Response,Piloting new approaches to 911 call diversion,"Improves the City's response to 911 calls by piloting new approaches to 911 call diversion, alternate response models, and establishing alternate destinations for patient transport","$15,000,000.00 ",1,NA,Chicago Department of Public Health,"<a href = ""https://www.chicago.gov/content/dam/city/depts/obm/supp_info/2022Budget/ChicagoRecoveryPlan.pdf"">City of Chicago ARPA Recovery Plan</a>",https://www.chicago.gov/content/dam/city/depts/obm/supp_info/2022Budget/ChicagoRecoveryPlan.pdf,9/20/2021,12/31/2024,0
Cook County,ARPA State and Local Fiscal Recovery Funds,Household Investment,Household Supportive Services,Household Investment,Household Supportive Services,Yes,Abolish Medical Debt,Purchasing and retiring medical debt of income-eligible patients in Cook County hospitals,"Cook County will support the development of a Community Information Exchange (CIE) for suburban Cook County and the City of Chicago to enhance the 211 system already being collaboratively developed by Cook County, the City of Chicago and a range of partners. A CIE is an interconnected and linked network of health, behavioral health, human, and social service providers that share information and coordinate services so that an individual receives the whole person care they need to be healthy and thrive, regardless of how they initially enter services, creating a “no wrong door” access to the social and health services system.","$3,587,500.00 ",0,NA,Agency lead not specified,"<a href = ""https://www.cookcountyil.gov/sites/g/files/ywwepo161/files/documents/2022-02/ARPA%20At%20A%20Glance%20-%202-10-22.pdf"">Cook County ARPA Recovery Plan</a>",https://www.cookcountyil.gov/sites/g/files/ywwepo161/files/documents/2022-02/ARPA%20At%20A%20Glance%20-%202-10-22.pdf,2/10/2022,12/31/2024,0
Chicago,ARPA State and Local Fiscal Recovery Funds,Household Investment,Household Supportive Services,Household Investment,Household Supportive Services,Yes,Access and awareness for public support services,Community-based navigation resources for public services,"Provides community-based navigation resources to ensure residents are aware of and have access to public services, including the creation of a 211 system","$14,700,000.00 ",1,NA,Chicago Department of Family and Support Services; Chicago Department of Public Health,"<a href = ""https://www.chicago.gov/content/dam/city/depts/obm/supp_info/2022Budget/ChicagoRecoveryPlan.pdf"">City of Chicago ARPA Recovery Plan</a>",https://www.chicago.gov/content/dam/city/depts/obm/supp_info/2022Budget/ChicagoRecoveryPlan.pdf,9/20/2021,12/31/2024,0
Chicago,Chicago General Obligation Bond,,,Housing,Affordable Housing,Yes,Acquisition rehab program for small/mid-sized buildings,Restoration of troubled and abandoned homes,Identifies and restores troubled and abandoned homes and buildings in priority neighborhoods to support community investment,"$12,000,000.00 ",1,NA,Chicago Department of Housing,"<a href = ""https://www.chicago.gov/city/en/sites/chicago-recovery-plan/home/dashboards.html"">City of Chicago</a>",https://www.chicago.gov/city/en/sites/chicago-recovery-plan/home/dashboards.html,9/20/2021,12/31/2024,0
Cook County,ARPA State and Local Fiscal Recovery Funds,Community Investment,Small Business,Community Investment,Small Business,Yes,Advancing equitable recovery in the Southland/building capacity in the Southland,Small business growth programs,"The Southland Development Authority (SDA) drives comprehensive, transformative and inclusive economic growth in Cook County’s South Suburbs. Funding will allow the SDA to continue to support the small business growth programs to advance key sectors.","$12,350,000.00 ",0,NA,Southland Development Authority,"<a href = ""https://www.cookcountyil.gov/sites/g/files/ywwepo161/files/documents/2022-02/ARPA%20At%20A%20Glance%20-%202-10-22.pdf"">Cook County ARPA Recovery Plan</a>",https://www.cookcountyil.gov/sites/g/files/ywwepo161/files/documents/2022-02/ARPA%20At%20A%20Glance%20-%202-10-22.pdf,2/10/2022,12/31/2024,0
Chicago,ARPA State and Local Fiscal Recovery Funds,Household Investment,Household Supportive Services,Household Investment,Household Supportive Services,Yes,Aid for Chicago's vulnerable students,Grants for students and households to cover school supplies,"Provides flexible grants for Chicago students/households to cover school supplies, food, and other essentials that are required for student support","$20,000,000.00 ",1,NA,Chicago Office of Budget and Management,"<a href = ""https://www.chicago.gov/content/dam/city/depts/obm/supp_info/2022Budget/ChicagoRecoveryPlan.pdf"">City of Chicago ARPA Recovery Plan</a>",https://www.chicago.gov/content/dam/city/depts/obm/supp_info/2022Budget/ChicagoRecoveryPlan.pdf,9/20/2021,12/31/2024,0
Illinois,ARPA State and Local Fiscal Recovery Funds,Community Investment,Community Development,Community Investment,Community Development,Yes,American Rescue Plan Capital Assets Program,Support improvements and investments in commecial corridors and downtowns,"To support improvements and encourage investment in commercial corridors and downtowns that have experienced disinvestment, particularly in communities hardest hit by COVID-19. Through this program, DCEO can fund projects that make these areas more attractive for private investment, generate short-term and long-term employment opportunities, and improve quality of life in the community through high-quality infrastructure and amenities.","$45,000,000.00 ",1,NA,Illinois Department of Commerce and Economic Opportunity,"<a href = ""https://budget.illinois.gov/content/dam/soi/en/web/budget/documents/lboc/LBOC-Report-August%202022.pdf"">State of Illinois Executive Office of the Governor Governor's Office of Management and Budget</a>",https://budget.illinois.gov/content/dam/soi/en/web/budget/documents/lboc/LBOC-Report-August%202022.pdf,9/15/2022,12/31/2024,0
Chicago,ARPA State and Local Fiscal Recovery Funds,Household Investment,Targeted Economic Assistance,Household Investment,Targeted Economic Assistance,Yes,Artist relief and works fund,Targeted relief for individual artists and cultural organizations not eligible for other federal relief programs,Targeted relief for individual artists and cultural organizations not eligible for other federal relief programs,"$10,000,000.00 ",1,NA,Chicago Department of Cultural Affairs and Special Events,"<a href = ""https://www.chicago.gov/content/dam/city/depts/obm/supp_info/2022Budget/ChicagoRecoveryPlan.pdf"">City of Chicago ARPA Recovery Plan</a>",https://www.chicago.gov/content/dam/city/depts/obm/supp_info/2022Budget/ChicagoRecoveryPlan.pdf,9/20/2021,12/31/2024,0
Illinois,ARPA State and Local Fiscal Recovery Funds,Community Investment,Small Business,Community Investment,Small Business,Yes,Back to Business Grant Program,Funds for businesses for revenue loss recovery,"For general business recovery and to offset losses during the pandemic, including a set aside for businesses that applied but did not receive funding under the Business Interruption Grant Program (BIG) and a set aside for business regrowth and renewal","$300,000,000.00 ",1,NA,Illinois Department of Commerce and Economic Opportunity,"<a href = ""https://budget.illinois.gov/content/dam/soi/en/web/budget/documents/lboc/LBOC-Report-August%202022.pdf"">State of Illinois Executive Office of the Governor Governor's Office of Management and Budget</a>",https://budget.illinois.gov/content/dam/soi/en/web/budget/documents/lboc/LBOC-Report-August%202022.pdf,9/15/2022,12/31/2024,0
Cook County,ARPA State and Local Fiscal Recovery Funds,Community Safety,Alternative Emergency Response,Community Safety,Alternative Emergency Response,Yes,Behavioral health expansion,"Expanding existing mental health and substance use services, and treatment and prevention programs","Expands existing mental health and substance use services, treatment, and prevention programs in priority communities in suburban Cook County in part through a community-based grants program in partnership with the Justice Advisory Council. Key areas of focus will include suicide prevention (including school-based screening), counseling and treatment, behavioral health workforce development, and youth-focused programs, including restorative justice and school discipline reform","$5,127,023.71 ",0,NA,Cook County Department of Public Health,"<a href = ""https://www.cookcountyil.gov/sites/g/files/ywwepo161/files/documents/2022-02/ARPA%20At%20A%20Glance%20-%202-10-22.pdf"">Cook County ARPA Recovery Plan</a>",https://www.cookcountyil.gov/sites/g/files/ywwepo161/files/documents/2022-02/ARPA%20At%20A%20Glance%20-%202-10-22.pdf,2/10/2022,12/31/2024,0
Cook County,ARPA State and Local Fiscal Recovery Funds,Community Investment,Infrastructure,Community Investment,Infrastructure,Yes,Broadband Expansion at HACC Properties,Upgrade broadband infrastructure at all Housing Authority of Cook County (HACC) properties,This initiative will upgrade broadband infrastructure at all Housing Authority of Cook Countyowned (HACC) properties. Current network infrastructure can only support 2-3 users at a time and is inadequate to meet the needs of both staff and residents who use the communal computers. This upgrade responds to the increased need for Internet access among HACC residents and staff due to COVID-19 restrictions and will additionally address the digital divide by providing low-income residents access to high-speed Internet.,"$2,111,111.00 ",0,NA,Agency lead not specified,"<a href = ""https://www.cookcountyil.gov/sites/g/files/ywwepo161/files/documents/2022-02/ARPA%20At%20A%20Glance%20-%202-10-22.pdf"">Cook County ARPA Recovery Plan</a>",https://www.cookcountyil.gov/sites/g/files/ywwepo161/files/documents/2022-02/ARPA%20At%20A%20Glance%20-%202-10-22.pdf,2/10/2022,12/31/2024,0
Illinois,ARPA,Community Investment,Infrastructure,Community Investment,Infrastructure,No,Capital Projects Fund,"Capital projects related to work, education, and health monitoring","Funds for capital projects directly enabling work, education, and health monitoring, including remote options, in response to the Covid-19 pandemic","$253,682,328.00 ",1,NA,U.S. Department of the Treasury,"<a href = ""https://home.treasury.gov/system/files/136/Allocations-States.pdf"">U.S. Department of the Treasury</a>",https://home.treasury.gov/system/files/136/Allocations-States.pdf,8/1/2021,9/30/2021,1
Cook County,ARPA State and Local Fiscal Recovery Funds,Community Investment,Infrastructure,Community Investment,Infrastructure,Yes,Chicago Southland Fiber Network Expansion,Extension of broadband infrastructure into south suburban communities,"The Chicago Southland Fiber Network provides gigabit broadband to government, education, healthcare, and businesses. Cook County will support the extension of the broadband infrastructure into south suburban communities with the highest Social Vulnerability Index (SVI) scores in the State of Illinois. Cook County will also add public WiFi access in certain anchor institutions, education institutions and government institutions that serve vulnerable communities.","$2,111,111.00 ",0,NA,Agency lead not specified,"<a href = ""https://www.cookcountyil.gov/sites/g/files/ywwepo161/files/documents/2022-02/ARPA%20At%20A%20Glance%20-%202-10-22.pdf"">Cook County ARPA Recovery Plan</a>",https://www.cookcountyil.gov/sites/g/files/ywwepo161/files/documents/2022-02/ARPA%20At%20A%20Glance%20-%202-10-22.pdf,2/10/2022,12/31/2024,0
