Geography,Funding Source,Program,Agency,Description,Detail Description,Policy Subtopic,Allocation (millions),Current As Of,Expiration,is_expired,amount_exact,source_url,source_name
Chicago,ARPA,Federal Transit Administration (FTA) Grants,U.S. Department of Transportation,Funds for public transit agencies to avoid layoffs and service reductions,"These funds help public transit agencies avoid layoffs and service reductions. These new resources, when combined with previous allocations through 2020, equal 132% of an urbanized area's 2018 public transit operating costs. In addition, this is available at a 100 percent federal share for operating expenses related to the response to Covid-19 (except for Capital Investment Grant funds).",Transportation,1527.47,2021-03-29,2024-09-30,0,1,https://www.transit.dot.gov/funding/apportionments/table-1-american-rescue-plan-act-2021-appropriations-and-apportionments,U.S. Department of Transportation ARPA 2021 Allocations and Apportionments
Illinois,ARPA,Capital Projects Fund,U.S. Department of the Treasury,"Capital projects related to work, education, and health monitoring","Funds for capital projects directly enabling work, education, and health monitoring, including remote options, in response to the Covid-19 pandemic",Infrastructure,253.68,2021-08-01,2021-09-30,1,1,https://home.treasury.gov/system/files/136/Allocations-States.pdf,U.S. Department of the Treasury
Illinois,ARPA,Federal Transit Administration (FTA) Grants,U.S. Department of Transportation,Funds for public transit agencies to avoid layoffs and service reductions,These funds help public transit agencies avoid layoffs and service reductions.,Transportation,17,2022-06-15,2024-09-30,0,1,https://www2.illinois.gov/sites/budget/Documents/LBOC/LBOC-Report-May-2022%20.pdf,State of Illinois Executive Office of the Governor Governor's Office of Management and Budget
Illinois,ARPA,Grants in Aid for Airports,Federal Aviation Administration,Funds for airports for broad Covid-19 recovery,"These funds provide economic relief to eligible U.S. airports affected by the prevention of, preparation for, and response to the Covid-19 pandemic.",Transportation,14,2021-06-16,2024-12-31,0,1,https://www2.illinois.gov/sites/budget/Documents/LBOC/LBOC-Report-May-2022%20.pdf,State of Illinois Executive Office of the Governor Governor's Office of Management and Budget
Illinois,ARPA,State Small Business Credit Initiative,Illinois Department of Commerce and Economic Opportunity,Programs supporting businesses owned by socially and economically disadvantaged entrepreneurs,"This program includes: $1.5 billion for states to support businesses owned by socially and economically disadvantaged entrepreneurs; $1 billion for an incentive program to boost funding tranches for states that show robust support for these businesses; and $500 million to support very small businesses with fewer than 10 employees. This law will inject capital into state small business support and capital access programs, provide collateral support, facilitate loan participation, and enable credit guarantee programs.",Small Business,281.89,2021-06-21,2024-12-31,0,1,https://www2.illinois.gov/sites/budget/Documents/Budget Book/FY2022-Budget-Book/FY22_Enacted_ARPA_Summary_6.21.21.pdf,Illinois ARPA Fiscal Year 2022 Appropriations
Chicago,ARPA State and Local Fiscal Recovery Funds,Broadband,Office of Budget and Management,Neighborhood-scale broadband investments,Expands Chicago Connected by funding neighborhood-scale broadband and leverage City assets to increase broadband affordability in communities,Infrastructure,10,2021-09-20,2024-12-31,0,1,https://www.chicago.gov/content/dam/city/depts/obm/supp_info/2022Budget/ChicagoRecoveryPlan.pdf,City of Chicago ARPA Recovery Plan
Chicago,ARPA State and Local Fiscal Recovery Funds,Commercial corridors and responsive neighborhood activation investments,Department of Planning and Development; Department of Business Affairs and Consumer Protection,Grants and business support services to revitalize commercial corridors,Grants and business support services to revitalize commercial corridors and support new small business owners and local artists involved in beautification projects; also includes community programs to drive local participation in the planning process and workforce participation in community-driven development projects,Small Business,51,2021-09-20,2024-12-31,0,1,https://www.chicago.gov/content/dam/city/depts/obm/supp_info/2022Budget/ChicagoRecoveryPlan.pdf,City of Chicago ARPA Recovery Plan
Chicago,ARPA State and Local Fiscal Recovery Funds,Community wealth building pilot,Department of Planning and Development,Economic development program promoting local ownership of community assets,"Creates a new economic development program to promote local, democratic, and shared ownership and control of community assets; pilot investments in shared-equity models (e.g. worker cooperatives, housing cooperatives, community land trusts), giving historiclaly disinvested communities more accessible and sustainable pathways to building wealth",Wealth-Building,15,2021-09-20,2024-12-31,0,1,https://www.chicago.gov/content/dam/city/depts/obm/supp_info/2022Budget/ChicagoRecoveryPlan.pdf,City of Chicago ARPA Recovery Plan
Chicago,ARPA State and Local Fiscal Recovery Funds,Environmental justice/hazard reduction program,Chicago Department of Public Health,Pollution and industrial health assessments,Invest in impact assessment capabilities for pollution and residential and industrial hazards in communities that drive inequitable health outcomes for residents,Infrastructure,9,2021-09-20,2024-12-31,0,1,https://www.chicago.gov/content/dam/city/depts/obm/supp_info/2022Budget/ChicagoRecoveryPlan.pdf,City of Chicago ARPA Recovery Plan
Chicago,ARPA State and Local Fiscal Recovery Funds,Equitable Transit Oriented Development (ETOD) program,Department of Planning and Development,Community-driven development near transit,"Advance local housing, public health, climate resiliency and economic recovery goals by supporting community-driven development near transit to foster healthy, walkable, affordable, and accessible communities",Transportation,10,2021-09-20,2024-12-31,0,1,https://www.chicago.gov/content/dam/city/depts/obm/supp_info/2022Budget/ChicagoRecoveryPlan.pdf,City of Chicago ARPA Recovery Plan
Chicago,ARPA,Federal Aviation Administration Grants-in-Aid for Airports,Federal Aviation Administration,Airport capital expenditures and operating expenses,"Funds for airport capital expenditures, airport operating expenses including payroll and utilities, and airport debt payments",Transportation,360.02,2021-06-16,2024-09-30,0,1,https://www.faa.gov/airports/airport_rescue_grants/media/20210622_ARP_Allocations.pdf,Federal Aviation Administration Airport Rescue Grants Allocations
Chicago,ARPA State and Local Fiscal Recovery Funds,Shuttered Venue Grant,Department of Cultural Affairs and Special Events,Emergency assistance funds for eligible venues affected by Covid-19,Emergency assistance funds for eligible venues affected by Covid-19,Small Business,1.21,2021-09-20,2024-12-31,0,1,https://www.chicago.gov/content/dam/city/depts/obm/supp_info/2022Budget/ChicagoRecoveryPlan.pdf,City of Chicago ARPA Recovery Plan
Chicago,ARPA State and Local Fiscal Recovery Funds,Vacant land reduction strategy,Department of Planning and Development,A wealth-building program transferring ownership of City-owned land to neighborhood residents,Reactivates vacant City-owned land and build community wealth by streamlining environmental reviews and transferring ownership to neighborhood residents for community benefit,Infrastructure,5,2021-09-20,2024-12-31,0,1,https://www.chicago.gov/content/dam/city/depts/obm/supp_info/2022Budget/ChicagoRecoveryPlan.pdf,City of Chicago ARPA Recovery Plan
Cook County,ARPA State and Local Fiscal Recovery Funds,Advancing equitable recovery in the Southland/building capacity in the Southland,Southland Development Authority,Small business growth programs,"The Southland Development Authority (SDA) drives comprehensive, transformative and inclusive economic growth in Cook County’s South Suburbs. Funding will allow the SDA to continue to support the small business growth programs to advance key sectors.",Small Business,12.35,2022-02-10,2024-12-31,0,0,https://www.cookcountyil.gov/sites/g/files/ywwepo161/files/documents/2022-02/ARPA%20At%20A%20Glance%20-%202-10-22.pdf,Cook County ARPA Recovery Plan
Cook County,ARPA State and Local Fiscal Recovery Funds,Chicago Southland Fiber Network Expansion,Agency lead not specified,Extension of broadband infrastructure into south suburban communities,"The Chicago Southland Fiber Network provides gigabit broadband to government, education, healthcare, and businesses. Cook County will support the extension of the broadband infrastructure into south suburban communities with the highest Social Vulnerability Index (SVI) scores in the State of Illinois. Cook County will also add public WiFi access in certain anchor institutions, education institutions and government institutions that serve vulnerable communities.",Infrastructure,2.11,2022-02-10,2024-12-31,0,0,https://www.cookcountyil.gov/sites/g/files/ywwepo161/files/documents/2022-02/ARPA%20At%20A%20Glance%20-%202-10-22.pdf,Cook County ARPA Recovery Plan
Cook County,ARPA State and Local Fiscal Recovery Funds,Broadband Expansion at HACC Properties,Agency lead not specified,Upgrade broadband infrastructure at all Housing Authority of Cook County (HACC) properties,This initiative will upgrade broadband infrastructure at all Housing Authority of Cook Countyowned (HACC) properties. Current network infrastructure can only support 2-3 users at a time and is inadequate to meet the needs of both staff and residents who use the communal computers. This upgrade responds to the increased need for Internet access among HACC residents and staff due to COVID-19 restrictions and will additionally address the digital divide by providing low-income residents access to high-speed Internet.,Infrastructure,2.11,2022-02-10,2024-12-31,0,0,https://www.cookcountyil.gov/sites/g/files/ywwepo161/files/documents/2022-02/ARPA%20At%20A%20Glance%20-%202-10-22.pdf,Cook County ARPA Recovery Plan
Cook County,ARPA State and Local Fiscal Recovery Funds,Digital equity planning,Agency lead not specified,Development of an action plan on digital divide in suburban Cook County,"To coordinate long-term digital equity work, Cook County will develop an action plan to evaluate where suburban Cook’s digital divide exists and outline solutions to cover gaps in broadband access, physical connectivity infrastructure, and financial barriers residents face when accessing digital devices and connections.",Infrastructure,2.11,2022-02-10,2024-12-31,0,0,https://www.cookcountyil.gov/sites/g/files/ywwepo161/files/documents/2022-02/ARPA%20At%20A%20Glance%20-%202-10-22.pdf,Cook County ARPA Recovery Plan
