Geography,Funding Source,Program,Agency,Description,Detail Description,Policy Subtopic,Allocation (millions),Current As Of,Expiration,is_expired,amount_exact,source_url,source_name
Chicago,ARPA State and Local Fiscal Recovery Funds,911 Alternative Response,Chicago Department of Public Health,Piloting new approaches to 911 call diversion,"Improves the City's response to 911 calls by piloting new approaches to 911 call diversion, alternate response models, and establishing alternate destinations for patient transport",Resources,15,2021-09-20,2024-12-31,0,1,https://www.chicago.gov/content/dam/city/depts/obm/supp_info/2022Budget/ChicagoRecoveryPlan.pdf,City of Chicago ARPA Recovery Plan
Chicago,ARPA State and Local Fiscal Recovery Funds,Gender-based violence reduction,Department of Family and Support Services,Emergency funds and legal assistance for survivors of gender-based violence,"Assists survivors of gender-based violence through emergency funds, legal assistance, prevention education, housing and other care coordination services",Safety Initiatives,20,2021-09-20,2024-12-31,0,1,https://www.chicago.gov/content/dam/city/depts/obm/supp_info/2022Budget/ChicagoRecoveryPlan.pdf,City of Chicago ARPA Recovery Plan
Chicago,ARPA State and Local Fiscal Recovery Funds,Resources for initiatives and violence reduction initiatives,Chicago Department of Public Health,Violence reduction and community safety programs,"Funds a comprehensive set of programs including operational support and staffing for the CSCC, communications and marketing for violence prevention and reduction, expansion of resources for violence intervention programming and support for community groups",Safety Initiatives,45,2021-09-20,2024-12-31,0,1,https://www.chicago.gov/content/dam/city/depts/obm/supp_info/2022Budget/ChicagoRecoveryPlan.pdf,City of Chicago ARPA Recovery Plan
Chicago,ARPA State and Local Fiscal Recovery Funds,Sobering Center,Chicago Department of Public Health,Creates a new sobering center facility as an alternative to emergency rooms and jails for publicly intoxicated individuals,Creates a new facility to enhance public safety and health outcomes by providing an alternative to emergency rooms and jails for publicly intoxicated individuals to initiate recovery,Resources,5,2021-09-20,2024-12-31,0,1,https://www.chicago.gov/content/dam/city/depts/obm/supp_info/2022Budget/ChicagoRecoveryPlan.pdf,City of Chicago ARPA Recovery Plan
Chicago,ARPA State and Local Fiscal Recovery Funds,Victim supporting fund,Chicago Department of Public Health,Services and supports for victims of violent crime,"Services and supports for victims of violent crime and their families, including mental health supports, crisis intervention, support with accessing crime victim compensation, housing, food, and more",Victim Supporting Fund,10,2021-09-20,2024-12-31,0,1,https://www.chicago.gov/content/dam/city/depts/obm/supp_info/2022Budget/ChicagoRecoveryPlan.pdf,City of Chicago ARPA Recovery Plan
Chicago,ARPA State and Local Fiscal Recovery Funds,Youth intervention programs,Department of Family and Support Services,"Interventions for young people involved in violent crime, both victims and perpetrators","Expands interventions for young people with violence involvement--both victims and perpetrators--that will include case management and services such as mental health, employment support, and other wraparound services",Youth,20,2021-09-20,2024-12-31,0,1,https://www.chicago.gov/content/dam/city/depts/obm/supp_info/2022Budget/ChicagoRecoveryPlan.pdf,City of Chicago ARPA Recovery Plan
Chicago,ARPA State and Local Fiscal Recovery Funds,Youth justice diversion program,Department of Family and Support Services,Implementation of a new youth diversion model,"Implementation of a new youth deflection and diversion model, including facility/space needs and social services",Youth,10,2021-09-20,2024-12-31,0,1,https://www.chicago.gov/content/dam/city/depts/obm/supp_info/2022Budget/ChicagoRecoveryPlan.pdf,City of Chicago ARPA Recovery Plan
Cook County,ARPA State and Local Fiscal Recovery Funds,911 Alternative Model Study and Strategic Plan,Cook County Justice Advisory Council,Develop a strategic plan on 911 alternative response models,"The Justice Advisory Council will engage consultants to develop a report and strategic plan on 911 alternative response models for Cook County. This includes 1) a comprehensive analysis of Cook County's current 911 system, 2) best and emerging practices in putting in place alternative responses, and 3) recommendations and a strategic plan on how Cook County may move forward with a new model. The goal of this project is to develop a plan for a response system that both better responds with mental health and other emergency services that do not require a traditional law enforcement response, needs which have been exacerbated during the lengthy pandemic, and to prevent unnecessary involvement of individuals in the criminal justice system.",Resources,1.5,2022-02-10,2024-12-31,0,0,https://www.cookcountyil.gov/sites/g/files/ywwepo161/files/documents/2022-02/ARPA%20At%20A%20Glance%20-%202-10-22.pdf,Cook County ARPA Recovery Plan
Cook County,ARPA State and Local Fiscal Recovery Funds,Justice Reinvesment Plan,Cook County Justice Advisory Council,Develop a criminal justice report outlining strategies to minimize overspending,The Justice Advisory Council will engage consultants to review Cook County's criminal justice budgets and develop a report with 1) an overview of current spending; 2) an outline of duplicative efforts or overspending; 3) a strategy to make reductions in criminal justice spending and invest in community; and 4) best practices from jurisdictions that have successfully reinvested criminal justice dollars into public health and community resources.,Safety Initiatives,1.5,2022-02-10,2024-12-31,0,0,https://www.cookcountyil.gov/sites/g/files/ywwepo161/files/documents/2022-02/ARPA%20At%20A%20Glance%20-%202-10-22.pdf,Cook County ARPA Recovery Plan
Cook County,ARPA State and Local Fiscal Recovery Funds,Emergency Re-entry Vouchers,Cook County Justice Advisory Council,Emergency re-entry voucher program for people leaving Cook County jail and transitioning into housing,"The Justice Advisory Council will administer emergency re-entry vouchers to assist people leaving Cook County Jail in securing safe housing. Currently, approximately 1,100 people in Cook County are kept behind bars after their release date because they cannot find affordable housing.",Resources,4.08,2022-02-10,2024-12-31,0,0,https://www.cookcountyil.gov/sites/g/files/ywwepo161/files/documents/2022-02/ARPA%20At%20A%20Glance%20-%202-10-22.pdf,Cook County ARPA Recovery Plan
Cook County,ARPA State and Local Fiscal Recovery Funds,State's Attorney's Office Crime Investigations,Cook County State Attorney's Office,Funding for violent gun crime investigation and prosecution,"This request will assist the Cook County State's Attorney's Office in investigating and prosecuting violent gun crimes. The State’s Attorney’s Office will use funding to add Investigators to the unit to work with prosecutors (state and federal, law enforcement agencies, etc.) and other stakeholders to help ensure public safety in communities across Cook County.",Safety Initiatives,5.13,2022-02-10,2024-12-31,0,0,https://www.cookcountyil.gov/sites/g/files/ywwepo161/files/documents/2022-02/ARPA%20At%20A%20Glance%20-%202-10-22.pdf,Cook County ARPA Recovery Plan
Cook County,ARPA State and Local Fiscal Recovery Funds,Strengthening Chicago's youth juvenile justice collaborative expansion,Agency lead not specified,Violence-reduction and juvenile justice programming for youth at high risk of exposure to violence,"This project aims to reduce violence and minimize justice involvement of youth who have experienced violence or trauma or are at high risk of exposure to violence. Services include trauma-informed care coordination for 500 justice-involved youth per year over three years, including youth on diversion (arrested for a felony or violent misdemeanor) or youth granted deferred prosecution. Services include intake, assessment, connection to evidence-based programming and pro-social services, emergency assistance, family support services, and postdischarge monitoring. In addition to providing care coordination and direct services for youth and their families, funds will support data tracking and analysis, continuous quality improvement, and developing an evaluation plan.",Safety Initiatives,5.13,2022-02-10,2024-12-31,0,0,https://www.cookcountyil.gov/sites/g/files/ywwepo161/files/documents/2022-02/ARPA%20At%20A%20Glance%20-%202-10-22.pdf,Cook County ARPA Recovery Plan
Cook County,ARPA State and Local Fiscal Recovery Funds,Supporting education and employment development,Cook County Justice Advisory Council,"Funds for the Supporting Education and Employment Development (SEED) Program, a plea-diversion and case management program","The Justice Advisory Council will provide funds to sustain and expand the Supporting Education and Employment Development (SEED) Program, a 13-month pre-plea diversion program for individuals aged 18 to 30, charged with possession with intent to deliver or manufacturing/delivery of a substance. The program provides case management, educational services, trauma-informed and cognitive behavioral interventions, job readiness training, job development and placement, supported employment, and restorative justice activities. The successful completion of the program results in case dismissal and expungement at graduation.",Safety Initiatives,5.13,2022-02-10,2024-12-31,0,0,https://www.cookcountyil.gov/sites/g/files/ywwepo161/files/documents/2022-02/ARPA%20At%20A%20Glance%20-%202-10-22.pdf,Cook County ARPA Recovery Plan
Cook County,ARPA State and Local Fiscal Recovery Funds,Violence prevention and reduction grant portfolio,Cook County Justice Advisory Council,Community-based services supporting justice-involved adults and youth,"The Justice Advisory Council (JAC) will expand funding for community-based services supporting justice-involved adults or youth, and those at high risk of experiencing violence as either a victim or perpetrator. Services include direct street-level intervention, mentoring, basic needs assistance, educational and vocational programming, and behavioral health and wellness support.",Safety Initiatives,5.13,2022-02-10,2024-12-31,0,0,https://www.cookcountyil.gov/sites/g/files/ywwepo161/files/documents/2022-02/ARPA%20At%20A%20Glance%20-%202-10-22.pdf,Cook County ARPA Recovery Plan
Cook County,ARPA State and Local Fiscal Recovery Funds,Behavioral health expansion,Cook County Department of Public Health,"Expanding existing mental health and substance use services, and treatment and prevention programs","Expands existing mental health and substance use services, treatment, and prevention programs in priority communities in suburban Cook County in part through a community-based grants program in partnership with the Justice Advisory Council. Key areas of focus will include suicide prevention (including school-based screening), counseling and treatment, behavioral health workforce development, and youth-focused programs, including restorative justice and school discipline reform",Safety Initiatives,5.13,2022-02-10,2024-12-31,0,0,https://www.cookcountyil.gov/sites/g/files/ywwepo161/files/documents/2022-02/ARPA%20At%20A%20Glance%20-%202-10-22.pdf,Cook County ARPA Recovery Plan
