Geography,Funding Source,Program,Agency,Description,Detail Description,Policy Subtopic,Allocation (millions),Current As Of,Expiration,is_expired,amount_exact,source_url,source_name
Chicago,ARPA State and Local Fiscal Recovery Funds,Access and awareness for public support services,Chicago Department of Public Health; Department of Family and Support Services,Community-based navigation resources for public services,"Provides community-based navigation resources to ensure residents are aware of and have access to public services, including the creation of a 211 system",Direct Household Assistance,15,2021-09-20,2024-12-31,0,1,https://www.chicago.gov/content/dam/city/depts/obm/supp_info/2022Budget/ChicagoRecoveryPlan.pdf,City of Chicago ARPA Recovery Plan
Chicago,ARPA State and Local Fiscal Recovery Funds,Aid for Chicago's vulnerable students,Chicago Office of Budget and Management,Grants for students and households to cover school supplies,"Provides flexible grants for Chicago students/households to cover school supplies, food, and other essentials that are required for student support",Direct Household Assistance,21,2021-09-20,2024-12-31,0,1,https://www.chicago.gov/content/dam/city/depts/obm/supp_info/2022Budget/ChicagoRecoveryPlan.pdf,City of Chicago ARPA Recovery Plan
Chicago,ARPA State and Local Fiscal Recovery Funds,Artist relief and works fund,Chicago Department of Cultural Affairs and Special Events,Targeted relief for individual artists and cultural organizations not eligible for other federal relief programs,Targeted relief for individual artists and cultural organizations not eligible for other federal relief programs,Direct Household Assistance,10,2021-09-20,2024-12-31,0,1,https://www.chicago.gov/content/dam/city/depts/obm/supp_info/2022Budget/ChicagoRecoveryPlan.pdf,City of Chicago ARPA Recovery Plan
Chicago,ARPA State and Local Fiscal Recovery Funds,Targeted financial and legal assistance for underserved residents,Chicago Department of Family and Support Services; Department of Business Affairs and Consumer Protection,"Financial assistance programs for underserved communities, including monthly cash assistance","Creates immediate financial assistance programs for underserved communities such as undocumented residents, domestic workers, and small community-based nonprofits providing safety net services; pilot a monthly cash assistance program for hard-hit, low-income households in need of additional economic stability; expand legal assistance programs through the Legal Protection Fund and Community Justice Initiative",Direct Household Assistance,71,2021-09-20,2024-12-31,0,1,https://www.chicago.gov/content/dam/city/depts/obm/supp_info/2022Budget/ChicagoRecoveryPlan.pdf,City of Chicago ARPA Recovery Plan
Cook County,ARPA State and Local Fiscal Recovery Funds,Transforming Places,Cook County Bureau of Economic Development; Cook County Equity Fund Taskforce,Economic and community development planning,"Cook County will identify high vulnerability communities and co-design a process to meet community-defined needs for economic development, community building, community safety, public health, education or social services. The County will support communities over a sustained period to ensure implementation and capacity-building, as well as helping attract additional public, private, and philanthropic resources.",Direct Household Assistance,3.59,2022-02-10,2024-12-31,0,0,https://www.cookcountyil.gov/sites/g/files/ywwepo161/files/documents/2022-02/ARPA%20At%20A%20Glance%20-%202-10-22.pdf,Cook County ARPA Recovery Plan
Cook County,ARPA State and Local Fiscal Recovery Funds,Veteran Grant Program,Cook County Department of Veterans Affairs,Establishing a fund to provide grants for community-based veteran service organizations and veteran-owned businesses,The Department of Veterans Affairs will establish a fund to provide grants to community-based veteran service organizations and veteran-owned businesses. The Veteran Grant Program will begin with a seed of $5 million for grants in the following areas: Program Enhancement; Capital Improvements; and Small Business Development.,Direct Household Assistance,3.59,2022-02-10,2024-12-31,0,0,https://www.cookcountyil.gov/sites/g/files/ywwepo161/files/documents/2022-02/ARPA%20At%20A%20Glance%20-%202-10-22.pdf,Cook County ARPA Recovery Plan
Cook County,ARPA State and Local Fiscal Recovery Funds,Guaranteed Income Program,Agency lead not specified,Recurring monthly unrestricted payments to a to-be-defined set of residents for at least 12 months to improve participants’ long-term economic stability,The Cook County Guaranteed Income Program will provide recurring monthly unrestricted payments to a to-be-defined set of residents for at least 12 months to improve participants’ long-term economic stability. The Guaranteed Income Program builds on the demonstrated success of guaranteed income programs in other jurisdictions in increasing residents’ financial stability and improving their health outcomes. Cook County’s program will include a research evaluation component to help the County better understand participant impacts.,Direct Household Assistance,3.59,2022-02-10,2024-12-31,0,0,https://www.cookcountyil.gov/sites/g/files/ywwepo161/files/documents/2022-02/ARPA%20At%20A%20Glance%20-%202-10-22.pdf,Cook County ARPA Recovery Plan
Cook County,ARPA State and Local Fiscal Recovery Funds,Cook County Residential Water Conservation and Energy Efficiency Program,Agency lead not specified,Utility bill cost reduction program,"The program will increase housing affordability for residents by reducing utility costs. Specifically, the project identifies residents for home energy and water assessments and implement energy efficiency improvements and water conservation measures (such as window replacement, roof repairs, insulation, air sealing, HVAC improvements, LED lighting, energyefficient windows and doors, installing low-flow water appliances and repairing leaks).",Direct Household Assistance,3.59,2022-02-10,2024-12-31,0,0,https://www.cookcountyil.gov/sites/g/files/ywwepo161/files/documents/2022-02/ARPA%20At%20A%20Glance%20-%202-10-22.pdf,Cook County ARPA Recovery Plan
Cook County,ARPA State and Local Fiscal Recovery Funds,Cook County Water Affordability Program,Agency lead not specified,Water utility bill payment assistance,"The Cook County Water Affordability Program will provide water utility bill payment assistance to help households suffering from income loss and mounting bills during the pandemic. The program will reduce uncollectable debt for municipal water utilities. The anticipated focus of the program is on communities with a high-water burden, meaning that the household spends a significantly larger portion of their income on the water and sewer bill.",Direct Household Assistance,3.59,2022-02-10,2024-12-31,0,0,https://www.cookcountyil.gov/sites/g/files/ywwepo161/files/documents/2022-02/ARPA%20At%20A%20Glance%20-%202-10-22.pdf,Cook County ARPA Recovery Plan
Cook County,ARPA State and Local Fiscal Recovery Funds,Community Information Exchange,Agency lead not specified,Development of a Community Information Exchange (CIE) to enhance in-development 211 system,"Cook County Legal Aid for Housing and Debt (CCLAHD) helps residents resolve eviction, foreclosure, consumer debt, and tax deed issues pre-court and during the court process. CCLAHD provides free legal aid, mediation services, case management, and connections for tenants and landlords dealing with evictions, property owners who are behind on their mortgage payments or property taxes, and creditors and debtors with issues related to consumer debt.",Direct Household Assistance,3.59,2022-02-10,2024-12-31,0,0,https://www.cookcountyil.gov/sites/g/files/ywwepo161/files/documents/2022-02/ARPA%20At%20A%20Glance%20-%202-10-22.pdf,Cook County ARPA Recovery Plan
Cook County,ARPA State and Local Fiscal Recovery Funds,Cook County Legal Aid for Housing and Debt,Agency lead not specified,"Legal aid and case management services for residents facing eviction, foreclosure, consumer debt, and tax deed issues","The program will increase housing affordability for residents by reducing utility costs. Specifically, the project identifies residents for home energy and water assessments and implement energy efficiency improvements and water conservation measures (such as window replacement, roof repairs, insulation, air sealing, HVAC improvements, LED lighting, energyefficient windows and doors, installing low-flow water appliances and repairing leaks). This program will also serve as a jobs program by employing local residents.",Direct Household Assistance,3.59,2022-02-10,2024-12-31,0,0,https://www.cookcountyil.gov/sites/g/files/ywwepo161/files/documents/2022-02/ARPA%20At%20A%20Glance%20-%202-10-22.pdf,Cook County ARPA Recovery Plan
